TrainingUtterance	TestUtterance	AvadhootComment	OSS_ANS	topn	IsBestMatch	IsTopNMatch
where would i not be charged atm fees?	where can i find free atms	Enhancement: Antonym support	where would i not be charged atm fees?	"['where can I find my eNotices?', 'I?m traveling and need to find an ATM. Can you help me?', 'where would i not be charged atm fees?']"	1	1
Are Roth IRA's tax deductible?	Are my Roth IRA contributions tax deductible?		Are Roth IRA's tax deductible?	"[""I can't view my IRA online?"", 'What is the difference between a traditional IRA and a Roth IRA?', ""Are Roth IRA's tax deductible?""]"	1	1
Are the fax and copier machines at Wright Patt Credit Union for public use?	Can I use the copy machine at Wright-Patt Credit Union?	Need more utterence	What is WPCU?	"['Is Wright-Patt Credit Union affiliated with the military?', 'What types of accounts do you have at Wright-Patt Credit Union?', 'What is WPCU?']"	0	0
Can I exchange currency at Wright-Patt?	Do you offer currency exchange services?	Synonym - You = Wright-Patt credit union	Can I exchange currency at Wright-Patt?	"['Does Wright-Patt Credit Union have foreign currency for purchase or exchange?', 'Does EECU exchange foreign currency?', 'Can I exchange currency at Wright-Patt?']"	1	1
Can I get a Money Order through the drive-through?	Can I get a Cashier's Check in the drive-through?	Synonym - Money Order = Cahsier's Check	How can I get a copy of a check?	"['Can I get a Money Order through the drive-through?', ""Does Wright Patt issue Cashier's Checks?"", 'How can I get a copy of a check?']"	0	1
Can I get something notarized at Wright Patt?	Notary Services	I think it’s a right response	Do you have a notary on staff?	"['Can I get something notarized at Wright Patt?', 'Does EECU offer a Notary Service?', 'Do you have a notary on staff?']"	0	1
Can I make a loan payment at the PTM?	How do I pay my loan at the remote tellers?	Enhancement: Can/How difference	How do I pay on a loan from another bank?	"['How do I re-advance my Stretch Pay Loan?', 'What is a stretch pay line of credit?', 'How do I pay on a loan from another bank?']"	0	0
Can I make my mortgage payment at the PTM?	I don't have a Wright Patt Credit Union Account. Can I still pay my Cenlar mortgage payment at the PTM?		Can I make my mortgage payment at the PTM?	"['Are the fax and copier machines at Wright Patt Credit Union for public use?', 'What Credit reporting agency does Wright Patt Credit Union use?', 'Can I make my mortgage payment at the PTM?']"	1	1
Can I order checks online?	Can I reorder checks online.		Can I order checks online?	"[""I'm searching for a check online but the system cannot locate it.  What should I do?"", 'Can I re-order checks online?', 'Can I order checks online?']"	1	1
Can I re-order checks online?	How do I reorder checks online?	Enhancement: Can/How difference	Can I order checks online?	"[""I'm searching for a check online but the system cannot locate it.  What should I do?"", 'Can I re-order checks online?', 'Can I order checks online?']"	0	1
